反应物	反应类型数	反应类型列表
[NH2:19][NH2:20]	4	[1, 2, 4, 9]
[NH2:20][NH2:21]	4	[1, 2, 4, 9]
[NH2:10][NH2:11]	4	[1, 2, 4, 9]
[NH3:24]	3	[1, 3, 9]
[C:1]([CH3:2])(=[O:3])[Cl:17]	3	[1, 2, 3]
[CH2:1]=[O:20]	3	[1, 3, 4]
[C:1]([CH3:2])(=[O:3])[Cl:36]	3	[1, 2, 3]
[NH2:16][NH2:17]	3	[1, 2, 9]
[CH3:18][NH2:19]	3	[1, 2, 3]
[NH3:17]	3	[1, 3, 9]
[NH2:13][NH2:14]	3	[2, 4, 9]
[NH2:18][NH2:19]	3	[1, 2, 9]
[CH2:16]1[CH2:17][O:18][CH2:19][CH2:20][NH:21]1	3	[1, 2, 3]
[N-:13]=[N+:14]=[N-:15]	3	[1, 4, 9]
[NH2:15][NH2:16]	3	[2, 4, 9]
[NH2:14][NH2:15]	3	[1, 2, 9]
[N-:23]=[N+:24]=[N-:25]	3	[1, 4, 9]
[NH3:16]	3	[1, 3, 9]
[CH3:23][NH:24][CH3:25]	3	[1, 2, 3]
[NH2:19][OH:20]	3	[1, 2, 9]
[NH2:20][OH:21]	3	[1, 2, 9]
[CH3:1][NH:2][CH3:3]	3	[1, 2, 3]
[NH4+:28]	3	[1, 4, 9]
[N-:11]=[N+:12]=[N-:13]	3	[1, 4, 9]
[NH2:25][NH2:26]	3	[1, 2, 9]
[NH2:8][CH2:9][CH2:10][OH:11]	3	[1, 2, 5]
[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[Cl:16]	3	[1, 2, 3]
[NH2:8][NH2:9]	3	[1, 2, 9]
[NH2:21][NH2:22]	3	[2, 4, 9]
[CH2:17]1[CH2:18][O:19][CH2:20][CH2:21][NH:22]1	3	[1, 2, 3]
[NH2:27][OH:28]	3	[1, 2, 9]
[N-:15]=[N+:16]=[N-:17]	3	[1, 4, 9]
[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[Cl:18]	3	[1, 2, 3]
[NH4+:18]	3	[1, 4, 9]
[C:1]([CH3:2])(=[O:3])[Cl:25]	3	[1, 2, 3]
[NH2:9][NH2:10]	3	[1, 2, 9]
[C:1]([CH3:2])([CH3:3])=[O:12]	3	[1, 3, 4]
[N-:22]=[N+:23]=[N-:24]	3	[1, 4, 9]
[N-:25]=[N+:26]=[N-:27]	3	[1, 4, 9]
[C:1]([CH3:2])(=[O:3])[Cl:24]	3	[1, 2, 3]
[NH2:11][OH:12]	3	[1, 2, 9]
[NH3:13]	3	[1, 3, 9]
[NH2:12][NH2:13]	3	[2, 4, 9]
[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[Cl:15]	3	[1, 2, 3]
[C:1]([O:2][CH3:3])(=[O:4])[Cl:10]	3	[1, 2, 3]
[NH2:17][NH2:18]	3	[2, 4, 9]
[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[Cl:21]	3	[1, 2, 3]
[NH4+:23]	3	[1, 4, 9]
[CH2:8]1[CH2:9][NH:10][CH2:11][CH2:12][NH:13]1	3	[1, 2, 5]
[NH2:27][NH2:28]	3	[1, 2, 9]
[C:1]([CH3:2])(=[O:3])[Cl:26]	3	[1, 2, 3]
[NH2:18][CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1	3	[1, 2, 4]
